title,source,published_at,url,query,sentiment,compound,positive,negative,neutral,keywords
"After layoffs, Oracle begins revoking campus placement offers at NITs, IITs",Moneycontrol,2026-05-14,https://www.moneycontrol.com/news/business/information-technology/after-layoffs-oracle-begins-revoking-campus-placement-offers-at-nits-iits-13919296.html,layoffs,Negative,-0.1298,0.04,0.068,0.892,"layoffs, oracle, begins, revoking, campus"
"Amazon Confirms It's Working on a 'Compelling' New The Lord of the Rings Video Game, but Its MMO Is Dead",IGN,2026-05-14,https://www.ign.com/articles/amazon-confirms-its-working-on-a-compelling-new-the-lord-of-the-rings-video-game-but-its-mmo-is-dead,layoffs,Negative,-0.9072,0.132,0.204,0.664,"amazon, confirms, working, compelling, new"
"Cisco to reduce workforce by 4,000, prioritises AI and security",Verdict,2026-05-14,https://www.verdict.co.uk/cisco-to-reduce-workforce-by-4000-prioritises-ai-and-security/,layoffs,Positive,0.5859,0.105,0.0,0.895,"cisco, reduce, workforce, prioritises, security"
"I'm an early participant in a UBI program that helps workers displaced by AI, and the support is life-changing",Business Insider,2026-05-14,https://www.businessinsider.com/ubi-program-for-workers-displaced-by-ai-its-a-lifeline-2026-5,layoffs,Positive,0.9136,0.231,0.0,0.769,"early, participant, ubi, program, helps"
"Amazon layoffs: More jobs slashed after 30,000 roles cut in recent months",The Times of India,2026-05-14,https://economictimes.indiatimes.com/tech/technology/amazon-layoffs-more-jobs-slashed-after-30000-roles-cut-in-recent-months/articleshow/131087502.cms,layoffs,Positive,0.6179,0.209,0.142,0.649,"amazon, layoffs, jobs, slashed, roles"
"Mass layoffs at Goldman Sachs? President John Waldron says ""digital agents will be our robots""",The Times of India,2026-05-14,https://economictimes.indiatimes.com/news/new-updates/mass-layoffs-at-goldman-sachs-president-john-waldron-says-digital-agents-will-be-our-robots/articleshow/131088088.cms,layoffs,Positive,0.4215,0.068,0.029,0.903,"mass, layoffs, goldman, sachs, president"
N.S. government won't release details on civil service cuts until next year,CBC News,2026-05-14,https://www.cbc.ca/news/canada/nova-scotia/nsgeu-government-jobs-employment-layoffs-budget-9.7197979,layoffs,Negative,-0.5267,0.0,0.079,0.921,"government, wont, release, details, civil"
Meta’s New Reality: Record High Profits. Record Low Morale,Wired,2026-05-14,https://www.wired.com/story/meta-layoffs-bad-vibes-mark-zuckerberg-ai/,layoffs,Positive,0.2023,0.141,0.145,0.714,"meta, new, reality, record, high"
LinkedIn wants to host thousands of events a year as part of its bet on creators,Business Insider,2026-05-14,https://www.businessinsider.com/linkedin-expands-into-creator-led-events-eyes-big-revenue-2026-5,layoffs,Positive,0.3182,0.042,0.0,0.958,"linkedin, wants, host, thousands, events"
"Federal workers’ mood sank under DOGE, poll finds",Semafor.com,2026-05-14,https://www.semafor.com/article/05/13/2026/federal-workers-mood-sank-under-doge-poll-finds,layoffs,Positive,0.73,0.165,0.0,0.835,"federal, workers, mood, sank, doge"
Wall Street no longer believes Kevin Warsh can do what President Trump wants,Fortune,2026-05-14,https://fortune.com/2026/05/14/wall-street-no-longer-believes-that-kevin-warsh-can-do-what-trump-wants/,layoffs,Negative,-0.5106,0.027,0.109,0.864,"wall, street, longer, believes, kevin"
"What bank execs are saying AI is doing to their workforces, from 'human assembly lines' to redeployment plans",Business Insider,2026-05-14,https://www.businessinsider.com/jpmorgan-citi-goldman-bofa-wells-ai-impact-headcounts-2026,layoffs,Neutral,0.0,0.0,0.0,1.0,"bank, execs, saying, workforces, human"
